movie_name,language,year_of_release,maturity_rating,total_running_time_minutes,imdb_ratings
Thazhuvatha Kaigal,Tamil,1986,NR,131,0
Vampire Academy,English,2014,18+,104,5.5
The Whistleblower,Hindi,2011,18+,107,7.1
DEADLY BLESSING,English,1981,18+,102,0
Olympus Has Fallen,Hindi,2013,18+,114,6.5
Shaadi Teri Bajayenge Hum Band,Hindi,2018,13+,128,4.9
Zelya,Marathi,2018,All,86,8.3
Ebong Bisarjan,Bengali,2012,13+,100,6.3
Romeo & Radhika,Gujarati,2016,13+,155,6.1
On the Yeti Trail,English,2014,13+,53,5.3
Underworld Evolution,English,2006,18+,106,6.7
Chowranghee,Bengali,None,NR,157,0
Taqdeer,Hindi,None,NR,138,8.7
Kasauti,Hindi,1974,NR,142,0
Rokto,Bengali,2016,13+,130,5.9
Chakra Theertha,Kannada,1967,NR,148,7.8
Nil Nirjane,Bengali,2019,13+,106,5
Dhruvangal Pathinaru,Tamil,2016,13+,104,8.3
Satyameva Jayate,Hindi,2018,18+,139,5.7
Deewangee,Hindi,2002,13+,157,6.6
Free Men,English,2020,13+,89,6.6
Apoorva Raagangal,Tamil,1975,NR,130,7.5
Abduction Point,Tamil,2016,18+,82,5.6
Hillary's America,English,2016,13+,106,0
The Bird Flu War,English,2020,13+,52,0
Mere Brother Ki Dulhan,Hindi,2011,13+,139,5.8
Diggajaru,Kannada,2001,All,159,0
Shutter Island,Hindi,2010,18+,138,8.2
Double Dhamaal,Hindi,2011,13+,132,3.8
Sherlock Holmes,English,2009,13+,128,7.6
Mon Maney Na,Bengali,2019,13+,132,0
Gangway to a Future,English,2019,13+,53,7.6
The Angry Birds Movie,Telugu,2016,7+,97,6.3
Mazhakaaru,Malayalam,1973,NR,110,0
Road to Ladakh,English,2003,18+,48,6.2
Maduve,Kannada,1990,NR,124,6.3
Kan Kan Mein Bhagwan,Hindi,None,NR,124,0
Utsab,Bengali,2017,13+,124,7.7
Blue Tiger,English,1994,16+,88,5.5
The Human Tornado,English,1976,18+,95,6.1
Chola,Malayalam,2019,13+,116,5.6
Enga Ooru Kavakkaran,Tamil,1998,All,128,6.6
Fine Gold,English,1990,16+,101,5.5
Devrai,Marathi,2004,13+,122,7.8
Manichtrathazhu,Malayalam,1993,NR,149,8.7
Fallen Not Forgotten,English,2009,16+,103,5.1
Okkhor,Bengali,2018,13+,25,7.8
Wiener-Dog,English,2016,18+,88,5.9
Agninakshathram,Malayalam,2004,NR,136,3
Gatham (Tamil),Tamil,2020,18+,101,6.1
Gharer Laxmi,Bengali,1998,NR,149,0
Marriage Da Garriage,Punjabi,2014,All,142,5.1
Daddy Cool: Join the Fun,Hindi,2009,13+,102,3.8
Pukar,Hindi,None,NR,146,0
Chicken Biryani,Bengali,2020,13+,4,8.6
Swarna Sikhar Prangane,Bengali,2018,13+,116,0
Black Market,Kannada,1967,NR,109,0
Arogya Niketan,Bengali,2017,13+,135,7.8
Protidwandi,Bengali,2018,13+,153,0
Mission: Impossible Ghost Protocol,English,2011,13+,132,7.4
Raazi,Hindi,2018,13+,137,7.8
Sarva Line Vyasta Aahet,Marathi,2019,13+,126,6
Jhonny,Tamil,1980,All,140,7.5
Soldier,Hindi,1998,13+,155,6.1
Sangamam,Tamil,1999,All,151,6.4
Life or Something Like It,English,2002,13+,103,5.8
Spadikam,Malayalam,1995,NR,145,8.6
Diana: The Royal Truth,English,2020,13+,61,6.8
Adalat,Hindi,None,NR,139,6.4
Daffedar,Malayalam,2016,All,153,5.8
The Bigfoot Alien: Connection Revealed,English,2020,13+,92,0
Bandini,Bengali,1989,All,131,6.7
Sultaan,Hindi,2000,18+,131,5.7
Sawan Ki Ghata,Hindi,1976,All,136,6.3
Indiana Jones and the Last Crusade,English,1989,All,126,8.2
Ek Nodir Galpo,Bengali,2017,13+,124,0
Flight 192,Gujarati,2016,16+,85,5
Aagaman,Bengali,2017,13+,153,0
Tulsi Vivah,Hindi,1971,All,162,6.5
Indulekha,Malayalam,2018,All,124,0
Deadlock,English,None,18+,89,0
Sapthagiri LLB,Telugu,2017,13+,132,7.1
Ek Tha Tiger,Hindi,2012,13+,132,5.5
Bheemasena Nalamaharaja,Kannada,2020,13+,140,6.5
Natural Born Killers,English,1994,18+,118,7.3
Amanush 2,Bengali,2017,13+,144,6.2
Chhota Bheem - Mayanagari,Hindi,2019,All,66,0
Begum Jaan,Hindi,2017,18+,127,5.6
Humkadam,Hindi,1980,All,123,6.6
Johnny English,English,2003,All,87,6.2
Agarzari,English,2019,13+,51,0
Sonar Bangla,Bengali,1982,NR,129,0
Respectfully Yours,Bengali,2018,All,22,0
The Iceman,English,2013,18+,101,6.8
Jarigina Katha,Telugu,None,NR,144,0
Heer Ranjha - A True Love Story,Punjabi,2009,NR,145,6.8
Bal Ganesh Part III,Hindi,2015,All,68,5.2
Bluff Master,Telugu,2018,13+,148,6.4
Diba Ratrir Kabya,Bengali,1970,13+,84,8.4
Endrendrum Kadhal,Tamil,1999,NR,144,5.9
Ishqiya,Hindi,2010,18+,110,7.3
Homefront,Tamil,2013,18+,96,6.5
Chitram Bhalare Vichitram,Telugu,2015,13+,126,6.8
Kaliveedu,Malayalam,1996,All,126,6.1
Shah Jahan Regency,Bengali,2020,13+,153,6.5
Meet Dave,English,2008,13+,90,5
Thaana Serndha Koottam,Tamil,2018,13+,138,6.7
Yaara Silly Silly,Hindi,2015,18+,106,5.6
Mujrim Kaun?,Hindi,None,NR,125,0
Trishagni,Hindi,1988,7+,118,7.4
Sivaji,Tamil,2007,All,188,7.5
Kerry on Kutton,Hindi,2016,18+,119,5.7
The Mechanic,Telugu,2011,18+,88,6.6
Manthan,Marathi,2006,All,115,7.7
Bunny,Telugu,2005,All,133,5.7
Babru,Kannada,2019,13+,106,6.7
Happy Husbands,Malayalam,2010,All,157,5.6
Dalamarmarangal,Malayalam,2009,NR,102,0
Bal Ganesh (Tamil),Tamil,2007,All,106,6.9
Daud,Hindi,1997,NR,171,5.9
Sami Potta Mudichu,Tamil,1991,All,124,0
Mumbai Pune Mumbai,Marathi,2010,All,106,8
Khazanchi,Hindi,None,NR,107,5.8
LEGO Marvel: Maximum Overload,English,2013,7+,22,6.5
Sin City: A Dame to Kill For,English,2014,18+,98,6.5
Avengement,Hindi,2019,18+,88,6.5
Madhabilata,Bengali,2018,13+,33,0
Ghost Machine,English,2010,16+,92,4.8
Khote Sikkay,Hindi,1974,18+,125,6.3
Kranti,Bengali,2017,13+,154,7.2
Parmaatma,Hindi,1994,NR,152,0
Aaina,Hindi,1993,16+,149,6
She's Funny That Way,English,2015,18+,93,6.1
Gharshane,Kannada,1984,NR,134,0
Dharam Veer,Hindi,1977,All,156,6.7
Mazhayathu,Malayalam,2018,All,122,6.8
Cast Away,English,2000,18+,143,7.8
Ninaithadhai Mudippavan,Tamil,1974,All,159,7.2
Hey Ram,Tamil,2000,18+,201,7.9
Alo Amar Alo,Bengali,2019,13+,133,6.5
Shatru Dhangso,Bengali,2017,13+,142,0
Aggradani,Bengali,1983,All,116,7.9
Zaroorat,Hindi,1972,NR,103,0
Mayurpankhi,Bengali,2019,13+,18,0
Beiimaan Love,Hindi,2016,18+,115,2.8
Mukham,Malayalam,1990,NR,117,7
In Harihar Nagar,Malayalam,1990,NR,127,8.6
Ghatkali,Bengali,1979,NR,117,6.6
Ek Phool Char Kante,Hindi,None,NR,136,6.8
Chasing Happiness,English,2019,16+,96,7.8
Maalai Nerathu Mayakkam (Malayalam),Malayalam,2015,18+,121,6.4
Beyond the Reach,English,2015,16+,87,5.6
Viralukketha Veekkam,Tamil,1999,NR,156,7.1
Gaurisankaram,Malayalam,2003,All,101,4.5
A Craft In A Bag,English,2020,13+,24,0
Akaash vani,Hindi,2013,13+,140,6.3
Barnali,Bengali,None,NR,94,7.5
Mangamma Gari Manavadu,Telugu,1984,NR,127,6.4
Happy Ending,Hindi,2014,NR,134,5.4
The Sunday Sessions,English,2020,13+,89,6.6
Amar Prem,Hindi,1972,NR,134,4
Byomkesh Parbo,Bengali,2016,13+,115,6.7
Marina Puratchi,Tamil,2019,All,76,6.4
Detective Dee: Mystery of the Phantom Flame,English,2011,13+,116,6.6
Horrible Bosses 2,English,2014,18+,108,6.3
Paruvam - Tamil,Tamil,1990,NR,54,0
NGK,Tamil,2019,All,147,5.9
Furry Vengeance,English,2010,7+,91,3.8
Genius,Telugu,2012,18+,142,8.4
Ulavuthurai,Tamil,1998,18+,162,7
Brick Mansions,English,2014,18+,90,5.7
Abhay,Telugu,2001,NR,140,7.8
Ottayaal Paatha (The Narrow Path),Malayalam,2016,All,96,0
Chingaari,Hindi,2006,13+,155,4.7
Dak Diye Jai,Bengali,1978,NR,90,0
Adda,Bengali,2019,13+,107,6.6
A Monsoon Date,Hindi,2019,NR,21,6.9
Enthino Pookunna Pookal,Malayalam,1982,NR,141,6.2
The End,Telugu,2003,NR,110,7.4
Once Upon a Time in America,English,1984,18+,229,8.4
Youth,English,2015,18+,123,7.3
Newton,Hindi,2017,13+,104,7.7
Mon Mayuree,Bengali,1990,NR,149,4
It Can Be Dangerous - City Of Dreams,Hindi,2014,NR,105,0
Paka Dekha,Bengali,1980,NR,95,6.8
Rishtey,Hindi,2002,13+,155,4.6
Wallet,Bengali,2018,13+,14,8.4
Criminal,Tamil,2016,18+,108,6.3
The Forbidden Kingdom,Tamil,2008,13+,100,6.6
Flight,English,2012,18+,138,7.3
"New Age, The",English,1994,18+,107,0
Uliyin Osai,Tamil,2008,All,141,0
Badshahi Angti,Bengali,2014,All,106,6.6
Mechanic Ressurection,English,2016,16+,94,5.7
The Curse of Abundance,English,2020,13+,69,6.7
Dinoshark,English,2010,16+,86,3.1
Seer Fish Fry,Bengali,2020,13+,3,0
The Ship Sinkers,English,2020,13+,46,7.7
Devadasu,Telugu,None,NR,175,5.1
Bal Ganesh 2 (Bengali),Bengali,2009,All,73,0
Double Happiness,English,1995,13+,87,7
Ganeshana Maduve,Kannada,1990,NR,127,7.6
Priyamaana Thozhi,Tamil,2003,All,155,5.5
Auzaar,Hindi,1997,13+,126,4.4
Trust WHO,English,2018,13+,54,6.5
Katmundu,Bengali,2018,13+,126,4.6
Kshamichu Ennoru Vakku,Malayalam,1986,NR,112,6.2
Tula Shikwin Changlach Dhada,Marathi,2007,All,152,5.9
Rangeelay,Punjabi,2013,NR,129,4.9
Vidyasagar,Bengali,2017,13+,111,8
Orphans of ISIS,English,2019,13+,60,0
Mighty Raju - Rio To Goa,Hindi,2019,All,67,0
Khazane Ki Khoj,Hindi,2017,13+,81,0
"Mambo Kings, The",English,1992,18+,102,0
Nene Mukhyamantri,Telugu,2019,13+,99,0
Jigri Dost,Hindi,None,NR,152,6.4
Bey Yaar,Gujarati,2014,13+,154,8.5
Mithai,Hindi,2019,13+,137,4.3
East Bengaler Chhele,Bengali,2017,13+,125,0
Annamayya,Telugu,1997,NR,145,8
Challenge,Bengali,2017,13+,139,0
Mafia: Chapter 1,Tamil,2020,13+,111,6
Hangsharaj,Bengali,2017,13+,116,0
Break Ke Baad,Hindi,2010,All,112,5.2
Minority Report,English,2002,18+,145,7.6
Dunno Y... Na Jaane Kyon,English,2010,NR,137,0
Kabali,Tamil,2016,13+,143,6.2
Melle,Malayalam,2017,All,113,6.2
Uyire,Tamil,1998,18+,165,7.6
Bandipotu Simham,Telugu,1982,NR,125,5.8
Mayor Meenakshi,Tamil,1976,NR,155,0
Birds of Prey,Hindi,2020,18+,108,6.1
Michael Madhana Kamarajan,Tamil,1990,All,160,8.5
Atlas Shrugged: Part I,English,2011,13+,96,5.6
Guptodhoner Sandhane,Bengali,2018,All,130,6.8
Choricha Mamla,Marathi,2020,13+,132,6.4
702 Dixits,Marathi,2016,13+,115,4.8
Woh Chokri,Hindi,1994,NR,123,8
My Life Without Air,English,2019,13+,71,7
Pailwaan (Malayalam),Malayalam,2019,13+,163,6.4
Evil Eye,Hindi,2020,16+,89,4.7
Bickels [Socialism],English,2016,NR,91,0
Indriyam,Malayalam,2000,NR,127,5.1
Boss,Bengali,2013,13+,137,5.8
Evanukku Engeyo Matcham Irukku,Tamil,2018,18+,140,3.3
"Power of One, The",English,1992,16+,127,0
Firehouse Dog,English,2007,13+,111,5.5
Where is Vidya Balan,Telugu,2015,18+,122,0
Wonder,English,2017,7+,113,8
Saheb Bibi Golam,Bengali,None,NR,149,7.9
The Babadook,English,2014,18+,93,6.8
Andhi Varum Neram,Tamil,1990,NR,87,0
Kan Simittum Neram,Tamil,1988,NR,135,5.6
Ab Hoga Dharna Unlimited,Hindi,2012,NR,78,4
Esperanza,English,2019,13+,15,0
Friend Request,English,2017,18+,88,5.3
San Andreas,Tamil,2015,13+,114,6.1
Uraan,Bengali,2019,13+,35,0
Bhalobasar Rajprasade,Bengali,2017,13+,138,0
Horrible Bosses (2011),English,2011,18+,97,6.9
Vaisakhi List,Punjabi,2016,All,143,6.4
Dil Ki Baazi,Hindi,1993,All,153,5.3
Meri Majboori,Hindi,2005,NR,102,0
Gurkha,Tamil,2019,All,141,4.9
Maa Nanna Chiranjeevi,Telugu,2010,NR,112,5.4
Zakir Khan: Kaksha Gyarvi,Hindi,2018,18+,74,8.3
The Gruffalo’s Child,English,2011,All,26,0
Khubsoorat,Hindi,1980,All,120,7.6
Cloudy with a Chance of Meatballs,Hindi,2009,7+,89,6.9
Mutton Biryani,Bengali,2020,13+,6,0
Blood Diamond,English,2006,18+,143,8
Violin,Malayalam,2011,All,130,0
Chotoder Chobi,Bengali,2017,13+,108,7.8
Aruvadai Naal,Tamil,1986,NR,138,6.6
Requiem For A Dream,English,2000,18+,101,8.3
Marikannu Horimyage,Kannada,1998,NR,133,0
Annan Thambi,Malayalam,2008,NR,135,5.7
Lingaa,Hindi,2014,NR,148,5.6
Lajja,Hindi,2001,NR,202,6.7
Uttarayan,Bengali,2019,13+,135,7.2
Farewell Amor,English,2020,NR,117,6.9
Pudhu Pudhu Ragangal,Tamil,1990,NR,150,0
Bamma Maata Bangaru Baata,Telugu,1989,All,153,7.2
Darbar (Tamil),Tamil,2020,13+,158,6.1
Nenjirukkum Varai,Tamil,2006,All,149,7.7
Anandache Jhaad,Marathi,2006,All,150,4
The Florida Project,English,2017,18+,111,7.6
Copycat,English,1995,18+,123,6.6
Geostorm,English,2017,13+,109,5.3
Bharaate,Kannada,2019,13+,164,4.9
Universal Soldier: Day of Reckoning,English,2012,18+,105,5
Aarada Gaaya,Kannada,1980,NR,137,0
The Condemned 2,English,2015,18+,90,4.2
Sound of Silence,Hindi,2017,All,87,7.2
American Pie Presents: The Naked Mile (Unrated),English,2006,18+,101,5.2
Nokkethadhoorathu Kannum Nattu,Malayalam,1984,NR,125,7.7
Kokkarakko,Malayalam,1995,NR,149,4.9
Besh Korechi Prem Korechi,Bengali,2015,All,143,4.8
Looper,Marathi,2012,18+,114,7.4
Adhe Kangal,Tamil,2017,All,119,7.3
Nadigaiyar Thilagam (Tamil),Tamil,2018,All,167,8.5
Jodi Love Dile Na Prane,Bengali,2017,13+,115,7.3
Annaya Attayachar,Bengali,2004,All,159,5.2
Favourite Nursery Rhymes,English,2014,All,33,0
Apocalypto,English,2006,18+,132,7.8
Aav Taru Kari Nakhu,Gujarati,2017,NR,126,6.4
Middle Class Madhavan,Tamil,2000,13+,154,6.6
Ajinkya,Marathi,2013,All,105,3.7
Albela,Hindi,2001,All,139,3.7
C.I.D.,Hindi,None,All,138,7.4
Kargil,Tamil,2018,All,93,7.3
Abhijan,Bengali,2017,13+,128,8
Nimantran,Bengali,2018,13+,122,8.2
Superman: Red Son,English,2020,13+,84,6.4
Dharmathin Thalaivan,Tamil,1988,NR,135,7
Dinoshark,Marathi,2010,16+,86,3.1
Elvis Home Movies,English,2020,13+,46,0
Darmiyaan: In Between,Hindi,1997,18+,128,7.3
The Crude Poker Game - A Geopolitical Investigation,English,2019,13+,54,0
Hettavaru,Kannada,1995,NR,141,0
Ke Tumi,Bengali,2008,NR,128,0
My Super Ex-Girlfriend,English,2006,16+,96,5.1
Zindagi Aur Maut,Hindi,2002,NR,119,6
Bachelor Party,Malayalam,2012,13+,119,5.1
Kambakkht Ishq,Hindi,2009,NR,134,3.9
Black and Blue,Telugu,2019,18+,107,6.4
Maqbool,Hindi,2004,All,120,8.1
Muniyana Madari,Kannada,1981,NR,141,7.5
Dilli Dreams,Hindi,2012,All,9,6
It Follows,English,2015,18+,99,6.8
Stalin,Telugu,2006,13+,168,7.1
Lapandav,Marathi,1993,All,145,8.3
Richie Rich (1994),English,1994,All,94,5.4
Jeevan Mrityu,Hindi,1970,NR,158,7
Buro Sadhu,Bengali,2019,13+,92,7.1
Manchukurisevelalo,Telugu,2018,All,128,7.1
Bad Ass,English,2012,13+,90,5.5
Missing,Hindi,2018,13+,120,5.8
Daag,Hindi,None,NR,134,7
The Vast of Night,English,2020,13+,90,6.7
Desi kattey,Hindi,2014,13+,138,0
Kantheredu Nodu,Kannada,1961,NR,135,8.1
The Legend of Tarzan,Tamil,2016,13+,109,6.2
Men in Black,English,1997,13+,97,7.3
The Raid: Redemption,Tamil,2012,18+,97,7.6
Lights Out,Telugu,2016,18+,80,6.3
Little Women,English,2019,All,134,7.8
Broken City,English,2013,18+,109,6.2
I Kill Giants,English,2018,16+,102,6.2
Saw 4,English,2007,18+,92,5.9
"Sunchaser, The",English,1996,18+,122,0
Birth of the Dragon,Telugu,2017,13+,91,5.5
Jalam,Malayalam,2016,All,104,6.5
American Psycho 2,English,2002,18+,88,3.8
Senjittale En Kadhala,Tamil,2017,All,100,7.4
Sagara Sangamam,Telugu,1983,All,169,8.8
Kashmir Daliy,Hindi,2018,NR,131,0
Mr. & Mrs. Smith,English,2005,16+,119,6.5
Fanney Khan,Hindi,2018,13+,129,4.5
Amar Bodyguard,Bengali,2018,13+,132,0
ASUR,Bengali,2020,All,136,6.9
Junior Senior,Tamil,2002,All,137,4.1
The Smurfs 2,Telugu,2013,7+,104,5.3
Ankahee,Hindi,2006,All,151,4.1
The Man in the Iron Mask,English,None,13+,111,6.5
Saaransh,Hindi,1984,13+,137,8.2
Rowdy Fellow,Telugu,2014,13+,137,6.6
Sthaniya Sambaad,Bengali,2020,13+,105,7.8
Parasakthi,Tamil,1952,All,170,7.4
Duniya,Hindi,1984,All,169,7.1
What If,English,2014,16+,97,6.8
Nagin Kanya,Bengali,2019,13+,131,0
Lolaab: A Valley in the Himalayas,English,2019,13+,57,0
Thayigobba Tharle Maga,Kannada,1989,NR,134,0
Megasnake,English,2007,18+,87,0
April 1 Vidudala,Telugu,1991,NR,144,7.7
Pizza Shop: An Italian-American Dream,English,2020,13+,57,0
Universal Soldier: Regeneration,Telugu,2010,18+,96,5.2
Police Police,Tamil,2010,NR,119,5.5
Do Knot Disturb,Hindi,2009,13+,125,3.6
Apne,Hindi,2007,All,166,6
The Last Airbender,Telugu,2010,All,103,4
"sex, lies and videotape",English,1989,18+,99,0
Villain,Bengali,2018,All,132,4.9
Vantas,Marathi,2018,NR,129,0
Chandralekha,Malayalam,1997,NR,172,7.5
Shutter Island,English,2010,18+,138,8.2
Following Seas,English,2019,13+,56,8.3
Rajwade and Sons,Marathi,2015,13+,124,7
Nirjan Saikate,Bengali,2018,13+,119,7.3
Bloodshot,Telugu,2020,13+,109,5.7
Pyaar Impossible,Hindi,2010,All,140,4.6
Hailesa,Malayalam,2009,NR,132,0
Thupaki Ramudu,Telugu,2019,13+,136,6.4
Bad Boys II,Telugu,2003,13+,146,6.6
Savyasachi,Telugu,2018,13+,147,5.4
1 1 3 Ora Tinjon,Bengali,2015,13+,93,4.6
Bhagshesh,Bengali,2018,NR,110,0
Jurassic Park,Hindi,1993,13+,126,8.1
Badsha,Bengali,None,NR,117,7.6
A Bigger Splash,English,2015,18+,124,6.4
Silence Patton,English,2018,16+,85,6.6
Chapters,Malayalam,2012,All,107,6.3
Cheater Ramachari Kannada,Kannada,2018,13+,102,0
The Hangover,English,2009,18+,99,7.7
Murder,Kannada,2020,13+,110,5.3
Jamindaru,Kannada,2002,NR,160,7.7
Hennina Sedu,Kannada,1981,NR,130,0
Pratyaghat,Bengali,2017,13+,130,7.3
Ishq Na Hove Rabba,Punjabi,2018,All,106,3.3
Y a-t-il une vierge encore vivante?,English,2015,NR,9,6.4
45 Years,English,2015,16+,94,7.1
School of Rock,English,2003,13+,109,7.1
Freaky Ali,Hindi,2016,13+,119,4.9
Dragon Blade,English,2015,13+,127,6
The Internship,English,2013,13+,119,6.3
Lalpathare,Bengali,None,NR,131,0
Sketch (Hindi),Hindi,2018,13+,115,5.7
Mayer Adhikar,Bengali,1998,NR,150,5.2
Happy Bhag Jayegi,Hindi,2016,NR,125,6.5
A Master Builder,English,2013,NR,127,5.9
L.A. Confidential,English,1997,18+,137,8.2
Idam | ഇടം,English,2019,NR,82,0
Wrath of the Titans,Telugu,2012,13+,99,5.7
Alifa,Bengali,2018,NR,109,7.9
Katha Deelam,Bengali,1991,NR,105,0
A Year in Champagne,English,2015,13+,82,6.5
Miss Lovely,Hindi,2012,13+,109,6.4
Hereditary,English,2018,18+,127,7.3
Shaadi Ke Side Effects,Hindi,2014,NR,141,5.6
Hum Hai Players,Hindi,2019,13+,123,5.3
Bhoo Kailas,Kannada,1981,NR,141,7.1
Dhanraj Tamang,Bengali,2017,13+,108,5.6
San Andreas,Hindi,2015,13+,114,6.1
VIP 2,Telugu,2017,All,131,5.4
Howl,Hindi,2015,18+,92,5.4
Silver Bullets,English,2011,NR,68,5.1
Chhota Bheem - Dus Pe Dus,Hindi,2014,All,62,4.5
Pilla Zamindar,Telugu,2011,All,147,7.7
Pati Patni Aur Woh,Hindi,1978,All,133,7.1
Maati Amaar Maa,Bengali,2019,13+,129,0
Uma,Bengali,2018,13+,147,7.3
Laaga Chunari Mein Daag,Hindi,2007,16+,139,5.3
Chowdhury Paribar,Bengali,1998,All,144,0
Chotto Goyenda,Bengali,2018,All,102,0
Zero,Tamil,2016,13+,144,6.3
The Defender,Tamil,2004,18+,87,4.9
Hip Hip Hurray,Marathi,2011,All,127,8.5
Dass,Tamil,2005,All,161,3.1
Yuddham Sharanam,Telugu,2017,13+,134,5.9
Uljhan,Hindi,1974,All,137,6.5
The Original Whale Riders,English,2019,13+,53,0
Hamaal De Dhamaal,Marathi,1989,All,125,6.6
Weekend Love,Telugu,2014,13+,136,4.7
Flight 192,Marathi,2016,16+,85,5
Sri Rama Rajyam,Telugu,2011,All,172,6.7
The Angry Birds Movie,Tamil,2016,7+,97,6.3
Tanu Weds Manu Returns,Hindi,2015,NR,127,7.6
Striptease,English,1996,18+,117,4.5
Jeevan Ashaa,Hindi,2014,All,8,0
The Expendables 2,Telugu,2012,18+,98,6.6
RX 100 ( In Hindi ),Hindi,2018,13+,132,6.9
Asatthuranda,Tamil,2017,13+,146,6.1
Mr Wrong Number,Malayalam,2014,NR,122,7.5
Kaun? Kaisey??,Hindi,1983,NR,127,0
Thomasleeha,Malayalam,1975,NR,144,0
Mr. & Mrs. 55,Hindi,None,All,143,7.2
How Is Wow,Hindi,2015,NR,90,0
Billionaire Boys Club,English,2018,18+,104,5.6
Vijay Vikram,Kannada,1979,NR,144,0
Annabelle Comes Home,English,2019,18+,106,5.9
Time Hopper,English,2020,13+,53,0
Commitment,Gujarati,2017,13+,135,6.4
Til Theke Taal,Bengali,2019,13+,136,0
Babouchka,English,2019,13+,53,0
Suhaag,Hindi,1979,All,164,5.7
Baa Bega Chandamama,Kannada,2008,All,136,0
Plush,English,2013,18+,99,5.3
Nayaki,Tamil,2016,13+,113,2.9
The Lincoln Lawyer,English,2011,18+,118,7.3
Sethupathi IPS,Tamil,1994,All,128,6.9
The Lodge,English,2020,18+,108,6.1
Journey 2: The Mysterious Island,English,2012,All,94,5.8
Marjorie Prime,English,2017,13+,98,6.3
David Versus Goliath,English,2020,13+,94,0
Naachiyaar,Tamil,2018,13+,98,6.8
Yellow Roads: Two Sicilies,English,2020,13+,26,0
Born To Race : Fast Track,Gujarati,2014,16+,97,5.3
Avale Nanna Gelathi,Kannada,2004,NR,132,0
The Unborn,Hindi,2017,All,20,4.8
Kshana Kshanam,Telugu,1991,All,149,8.1
Gumnaami,Bengali,2020,13+,141,0
Raagam Anuragam,Malayalam,1991,NR,95,7.1
Nanna Prakara,Kannada,2019,13+,115,6.4
Saptapadii,Gujarati,2013,13+,100,7.2
San Andreas,Telugu,2015,13+,114,6.1
The Maidens of Fetish Street,English,None,18+,64,0
Before I Wake,English,2018,16+,93,6.2
Hamraaz,Hindi,None,All,170,7.1
Kalangarai Vilakkam,Tamil,1965,NR,142,6.4
Chaar Din Ki Chandni,Hindi,2012,NR,131,4.1
Mee Shivajiraje Bhosale Boltoy,Marathi,2009,All,147,7.9
Saat Pake Bandha,Bengali,2017,13+,127,0
Rishte Naate,Hindi,None,NR,158,0
Ala Modalaindhi,Telugu,2011,All,134,7.7
Jeepers Creepers 2,Hindi,2003,18+,104,5.6
Nasrani,Malayalam,2007,NR,149,4.2
V (Malayalam),Malayalam,2020,16+,140,6.6
Teen Titans Go! Vs. Teen Titans,English,2019,13+,76,6.9
Nirbasito,Bengali,2018,13+,107,0
Gemini Man,English,2019,18+,117,5.7
Borbaad,Bengali,2017,13+,140,5.4
5 Ghantey Mein 5 Crore,Hindi,2012,NR,111,0
I Am Not a Witch,English,2017,16+,92,6.9
Jeevan Mrityu,Hindi,1970,All,165,7
Brother's Day (Tamil),Tamil,2019,13+,163,4.5
Samarpita,Bengali,1984,NR,111,0
Every Other Couple,English,2020,13+,76,6.6
Basu Paribar,Bengali,None,NR,99,0
Maayavan,Tamil,2017,13+,126,7.3
Kavacham,Kannada,2018,13+,138,5.5
Barati,Hindi,None,NR,135,0
Terminator Salvation,English,2009,13+,114,6.5
Bombay Summer,Hindi,2010,18+,102,6.3
Pothey Holo Deri,Bengali,2017,13+,125,0
Despicable Me,English,2010,7+,94,7.6
Sankalpa,Bengali,2017,13+,125,0
Transformers: Revenge of the Fallen,Tamil,2009,13+,149,6
Deool,Marathi,2011,All,145,8.2
Nanum Oru Herothan,Tamil,2002,NR,117,0
"In particular, barbara findlay",English,2020,13+,53,0
Akhiyon Se Goli Maare,Hindi,2002,All,143,5.1
Debdas - Bengali,Bengali,2002,NR,140,0
2 Hours Love,Telugu,2019,13+,150,6.7
Rangoon Rowdy,Telugu,1979,NR,103,0
Kittu Puttu,Kannada,1977,NR,155,7.5
Mahapith Tarapith,Bengali,1989,NR,116,0
Ek Hi Rasta,Hindi,None,All,144,6.9
The End of Love,English,2012,18+,92,6
Jimmy Ee Veedinte Aiswaryam,Malayalam,2019,All,109,6.4
I Am Kalam,Telugu,2011,All,88,8
Khandan,Hindi,None,NR,156,6.9
Autorsha,Malayalam,2018,All,131,5.7
Jalsaghar,Bengali,None,NR,90,0
Sesh Raksha,Bengali,1977,NR,122,0
Theeran (Hindi),Hindi,2018,13+,140,8.2
Sodari,Kannada,1995,NR,101,7.8
"Greenland, The Whispering of Ice",English,2020,13+,52,0
Koi Aae Na..,Hindi,2015,NR,97,0
Anarkali,Hindi,None,All,148,7.2
City of Christmas,Bengali,2019,13+,4,0
Dhol,Hindi,2007,13+,145,6.3
Pournami Alaigal,Tamil,1985,NR,135,0
Scooby-Doo! Return to Zombie Island,English,2019,13+,79,5.7
Swati Mutyam,Telugu,1986,All,160,8.3
Dus,Hindi,2005,13+,140,5.5
America,English,2013,NR,7,5.7
Permanent,English,2017,18+,93,5.6
Noor,Hindi,2017,13+,116,4
Mighty Raju - Ice Ice Mighty,Hindi,2015,All,61,0
Ami Aadu,Bengali,2011,All,116,7.4
Albert Pinto Ko Gussa Kyun Aata Hai?,Hindi,2019,18+,82,5.5
Pennam Kolkata,Bengali,1992,NR,150,0
Kaydyacha Bola,Marathi,2005,All,133,7.1
